Method,M,Time,results
CIM,1,2689,116676
CIM,2,969,116676
CIM,3,792,116676
CIM,4,391,116676
CIM,5,570,116676
CIM,6,515,116676
CIM,7,380,116676
CIM,8,462,116676
CIM,9,261,116676
CIM,10,397,116676
CIM,11,218,116676
CIM,12,377,116676
CIM,13,223,116676
CIM,14,317,116588
CIM,15,239,116246
CIM,16,314,115334
CIM,17,283,114114
CIM,18,122,112184
CIM,19,191,110000
CIM,20,183,107166
CIM,21,114,104958
CIM,22,148,101428
CIM,23,151,97486
CIM,24,81,93484
CIM,25,114,89892
CIM,26,92,85262
CIM,27,89,81302
CIM,28,71,76722
CIM,29,64,72082
CIM,30,55,68450
CIM,31,53,64542
CIM,32,50,60636
CIM,33,32,57272
CIM,34,36,54492
CIM,35,30,51566
CIM,36,30,49006
CIM,37,26,46284
CIM,38,26,44144
CIM,39,21,42206
CIM,40,35,40076
CIM,41,19,38214
CIM,42,16,36670
CIM,43,14,34950
CIM,44,13,33252
CIM,45,13,31886
CIM,46,12,30828
CIM,47,12,29750
CIM,48,10,27776
CIM,49,11,27054
Force,1,692,116676
Force,2,350,116676
Force,3,544,116676
Force,4,542,116676
Force,5,291,116676
Force,6,566,116676
Force,7,589,116676
Force,8,313,116676
Force,9,647,116676
Force,10,429,116676
Force,11,312,116676
Force,12,584,116676
Force,13,351,116676
Force,14,337,116676
Force,15,565,116676
Force,16,332,116676
Force,17,352,116676
Force,18,577,116676
Force,19,292,116676
Force,20,401,116676
Force,21,576,116676
Force,22,293,116676
Force,23,436,116676
Force,24,558,116676
Force,25,266,116676
Force,26,470,116676
Force,27,564,116676
Force,28,271,116676
Force,29,508,116676
Force,30,563,116676
Force,31,252,116676
Force,32,549,116676
Force,33,560,116676
Force,34,248,116676
Force,35,545,116676
Force,36,566,116676
Force,37,261,116676
Force,38,572,116676
Force,39,564,116676
Force,40,268,116676
Force,41,580,116676
Force,42,550,116676
Force,43,271,116676
Force,44,590,116676
Force,45,480,116676
Force,46,275,116676
Force,47,580,116676
Force,48,572,116676
Force,49,288,116676
